,Alpha_1,Alpha_2,Alpha_3,Alpha_4,Beta_1,Beta_2,Beta_3,Beta_4,Delta_1,Delta_2,Delta_3,Delta_4,Theta_1,Theta_2,Theta_3,Theta_4,Gamma_1,Gamma_2,Gamma_3,Gamma_4,ID,Section,slideNumber
0,0.658,0.00,0.740,0.756,0.686,0.00,0.054,0.386,0.286,0.00,0.246,0.174,0.415,0.00,0.341,0.504,0.394,0.00,0.416,0.368,139564.0,2.0,7.0
1,0.658,0.00,0.740,0.756,0.686,0.00,0.054,0.386,0.286,0.00,0.246,0.174,0.415,0.00,0.341,0.504,0.394,0.00,0.416,0.368,139564.0,2.0,7.0
2,0.658,0.00,0.740,0.756,0.686,0.00,0.054,0.386,0.286,0.00,0.246,0.174,0.415,0.00,0.341,0.504,0.394,0.00,0.416,0.368,139564.0,2.0,7.0
3,0.658,0.00,0.740,0.756,0.686,0.00,0.054,0.386,0.286,0.00,0.246,0.174,0.415,0.00,0.341,0.504,0.394,0.00,0.416,0.368,139564.0,2.0,7.0
4,0.658,0.00,0.740,0.756,0.686,0.00,0.054,0.386,0.286,0.00,0.246,0.174,0.415,0.00,0.341,0.504,0.394,0.00,0.416,0.368,139564.0,2.0,7.0
5,0.658,0.00,0.740,0.756,0.686,0.00,0.054,0.386,0.286,0.00,0.246,0.174,0.415,0.00,0.341,0.504,0.394,0.00,0.416,0.368,139564.0,2.0,7.0
6,0.658,0.00,0.740,0.756,0.686,0.00,0.054,0.386,0.286,0.00,0.246,0.174,0.415,0.00,0.341,0.504,0.394,0.00,0.416,0.368,139564.0,2.0,7.0
7,0.658,0.00,0.740,0.756,0.686,0.00,0.054,0.386,0.286,0.00,0.246,0.174,0.415,0.00,0.341,0.504,0.394,0.00,0.416,0.368,139564.0,2.0,7.0
8,0.658,0.00,0.740,0.756,0.686,0.00,0.054,0.386,0.286,0.00,0.246,0.174,0.415,0.00,0.341,0.504,0.394,0.00,0.416,0.368,139564.0,2.0,7.0
9,0.658,0.00,0.740,0.756,0.686,0.00,0.054,0.386,0.286,0.00,0.246,0.174,0.415,0.00,0.341,0.504,0.394,0.00,0.416,0.368,139564.0,2.0,7.0
10,0.658,0.00,0.740,0.756,139564,2,7,,,,,,,,,,,,,,,,
11,0.686,0.00,0.054,0.386,0.286,0.00,0.246,0.174,0.415,0.00,0.341,0.504,0.394,0.00,0.416,0.368,0.658,0.00,0.740,0.756,139564.0,2.0,8.0
12,0.686,0.00,0.054,0.386,0.286,0.00,0.246,0.174,0.415,0.00,0.341,0.504,0.394,0.00,0.416,0.368,0.658,0.00,0.740,0.756,139564.0,2.0,8.0
13,0.686,0.00,0.054,0.386,0.286,0.00,0.246,0.174,0.415,0.00,0.341,0.504,0.394,0.00,0.416,0.368,0.658,0.00,0.740,0.756,139564.0,2.0,8.0
14,0.686,0.00,0.054,0.386,0.286,0.00,0.246,0.174,0.415,0.00,0.341,0.504,0.394,0.00,0.416,0.368,0.658,0.00,0.740,0.756,139564.0,2.0,8.0
15,0.686,0.00,0.054,0.386,0.286,0.00,0.246,0.174,0.415,0.00,0.341,0.504,0.394,0.00,0.416,0.368,0.658,0.00,0.740,0.756,139564.0,2.0,8.0
16,0.686,0.00,0.054,0.386,0.286,0.00,0.246,0.174,0.415,0.00,0.341,0.504,0.394,0.00,0.416,0.368,0.658,0.00,0.740,0.756,139564.0,2.0,8.0
17,0.686,0.00,0.054,0.386,0.286,0.00,0.246,0.174,0.415,0.00,0.341,0.504,0.394,0.00,0.416,0.368,0.658,0.00,0.740,0.756,139564.0,2.0,8.0
18,0.686,0.00,0.054,0.386,0.286,0.00,0.246,0.174,0.415,0.00,0.341,0.504,0.394,0.00,0.416,0.368,0.658,0.00,0.740,0.756,139564.0,2.0,8.0
19,0.686,0.00,0.054,0.386,0.286,0.00,0.246,0.174,0.415,0.00,0.341,0.504,0.394,0.00,0.416,0.368,0.658,0.00,0.740,0.756,139564.0,2.0,8.0
20,0.686,0.00,0.054,0.386,0.286,0.00,0.246,0.174,0.415,0.00,0.341,0.504,0.394,0.00,0.416,0.368,0.658,0.00,0.740,0.756,139564.0,2.0,8.0
21,0.686,0.00,0.054,0.386,0.286,0.00,0.246,0.174,0.415,0.00,0.341,0.504,0.652,0.00,0.154,0.020,0.501,0.00,0.535,0.229,139564.0,2.0,8.0
22,1.398,0.00,0.325,0.436,0.901,0.00,0.447,0.094,0.299,0.00,0.521,0.334,0.652,0.00,0.149,0.020,0.501,0.00,0.541,0.229,139564.0,2.0,8.0
23,1.398,0.00,0.325,0.436,0.901,0.00,0.427,0.094,0.299,0.00,0.531,0.334,0.652,0.00,0.125,0.020,0.501,0.00,0.551,0.229,139564.0,2.0,8.0
24,1.398,0.00,0.300,0.436,0.901,0.00,0.333,0.094,0.299,0.00,0.545,0.334,0.258,0.00,0.020,0.145,0.370,0.00,0.790,0.441,139564.0,2.0,8.0
25,0.085,0.00,0.274,0.540,139564,2,8,,,,,,,,,,,,,,,,
26,0.175,0.00,0.099,0.241,0.525,0.00,0.908,0.556,0.258,0.00,0.020,0.145,0.370,0.00,0.790,0.441,0.085,0.00,0.274,0.540,139564.0,2.0,9.0
27,0.175,0.00,0.099,0.241,0.525,0.00,0.908,0.556,0.258,0.00,0.020,0.145,0.370,0.00,0.790,0.441,0.085,0.00,0.274,0.540,139564.0,2.0,9.0
28,0.175,0.00,0.099,0.241,0.525,0.00,0.908,0.556,0.258,0.00,0.020,0.145,0.370,0.00,0.790,0.441,0.085,0.00,0.274,0.540,139564.0,2.0,9.0
29,0.175,0.00,0.099,0.241,0.525,0.00,0.908,0.556,0.258,0.00,0.020,0.145,0.370,0.00,0.790,0.441,0.085,0.00,0.274,0.540,139564.0,2.0,9.0
30,0.175,0.00,0.099,0.241,0.525,0.00,0.908,0.556,0.258,0.00,0.020,0.145,0.370,0.00,0.790,0.441,0.085,0.00,0.274,0.540,139564.0,2.0,9.0
31,0.175,0.00,0.099,0.241,0.525,0.00,0.908,0.556,0.258,0.00,0.020,0.145,0.370,0.00,0.790,0.441,0.085,0.00,0.274,0.540,139564.0,2.0,9.0
32,0.175,0.00,0.099,0.241,0.525,0.00,0.908,0.556,0.258,0.00,0.020,0.145,0.370,0.00,0.790,0.441,0.085,0.00,0.274,0.540,139564.0,2.0,9.0
33,0.175,0.00,0.099,0.241,0.525,0.00,0.908,0.556,0.258,0.00,0.020,0.145,0.370,0.00,0.790,0.441,0.085,0.00,0.274,0.540,139564.0,2.0,9.0
34,0.175,0.00,0.099,0.241,0.525,0.00,0.908,0.556,0.258,0.00,0.020,0.145,0.370,0.00,0.790,0.441,0.085,0.00,0.274,0.540,139564.0,2.0,9.0
35,0.175,0.00,0.099,0.241,0.525,0.00,0.908,0.556,0.258,0.00,0.020,0.145,0.370,0.00,0.790,0.441,0.085,0.00,0.274,0.540,139564.0,2.0,9.0
36,0.175,0.00,0.099,0.241,0.525,0.00,0.908,0.556,0.258,0.00,0.020,0.145,0.370,0.00,0.790,0.441,0.085,0.00,0.274,0.540,139564.0,2.0,9.0
37,0.175,0.00,0.099,0.241,0.525,0.00,0.908,0.556,0.258,0.00,0.020,0.145,0.370,0.00,0.790,0.441,0.085,0.00,0.274,0.540,139564.0,2.0,9.0
38,0.175,0.00,0.099,0.241,0.525,0.00,0.908,0.556,0.258,0.00,0.020,0.145,0.370,0.00,0.790,0.441,0.085,0.00,0.274,0.540,139564.0,2.0,9.0
39,0.175,0.00,0.099,0.241,0.525,0.00,0.908,0.556,0.258,0.00,0.020,0.145,0.370,0.00,0.790,0.441,0.085,0.00,0.274,0.540,139564.0,2.0,9.0
40,0.175,0.00,0.099,0.241,0.525,0.00,0.908,0.556,0.258,0.00,0.020,0.145,0.370,0.00,0.790,0.441,0.085,0.00,0.274,0.540,139564.0,2.0,9.0
41,0.175,0.00,0.099,0.241,0.525,0.00,0.908,0.556,0.258,0.00,0.020,0.145,0.370,0.00,0.790,0.441,0.085,0.00,0.274,0.540,139564.0,2.0,9.0
42,0.175,0.00,0.099,0.241,0.525,0.00,0.908,0.556,0.258,0.00,0.020,0.145,0.370,0.00,0.790,0.441,0.085,0.00,0.274,0.540,139564.0,2.0,9.0
43,0.175,0.00,0.099,0.241,0.525,0.00,0.908,0.556,0.258,0.00,0.020,0.145,0.370,0.00,0.790,0.441,0.085,0.00,0.274,0.540,139564.0,2.0,9.0
44,0.175,0.00,0.099,0.241,0.525,0.00,0.908,0.556,0.258,0.00,0.020,0.145,0.370,0.00,0.790,0.441,0.085,0.00,0.274,0.540,139564.0,2.0,9.0
45,0.175,0.00,0.099,0.241,0.525,0.00,0.908,0.556,0.258,0.00,0.020,0.145,0.370,0.00,0.790,0.441,0.085,0.00,0.274,0.540,139564.0,2.0,9.0
46,0.175,0.00,0.099,0.241,0.525,0.00,0.908,0.556,0.258,0.00,0.020,0.145,0.370,0.00,0.790,0.441,0.085,0.00,0.274,0.540,139564.0,2.0,9.0
47,0.175,0.00,0.099,0.241,0.525,0.00,0.908,0.556,0.258,0.00,0.020,0.145,0.370,0.00,0.790,0.441,0.085,0.00,0.274,0.540,139564.0,2.0,9.0
48,0.175,0.00,0.099,0.241,0.525,0.00,0.908,0.556,0.258,0.00,0.020,0.145,0.370,0.00,0.790,0.441,0.085,0.00,0.274,0.540,139564.0,2.0,9.0
49,0.175,0.00,0.099,0.241,0.525,0.00,0.908,0.556,0.258,0.00,0.020,0.145,0.370,0.00,0.790,0.441,0.085,0.00,0.274,0.540,139564.0,2.0,9.0
50,0.175,0.00,0.099,0.241,0.525,0.00,0.908,0.556,0.258,0.00,0.020,0.145,0.370,0.00,0.790,0.441,0.085,0.00,0.274,0.540,139564.0,2.0,9.0
51,0.175,0.00,0.099,0.241,0.525,0.00,0.908,0.556,0.258,0.00,0.020,0.145,0.370,0.00,0.790,0.441,0.085,0.00,0.274,0.540,139564.0,2.0,9.0
52,0.175,0.00,0.099,0.241,0.525,0.00,0.908,0.556,0.258,0.00,0.020,0.145,0.370,0.00,0.790,0.441,0.085,0.00,0.274,0.540,139564.0,2.0,9.0
53,0.175,0.00,0.099,0.241,0.525,0.00,0.908,0.556,0.258,0.00,0.020,0.145,0.370,0.00,0.790,0.441,0.085,0.00,0.274,0.540,139564.0,2.0,9.0
54,0.175,0.00,0.099,0.241,0.525,0.00,0.908,0.556,0.258,0.00,0.020,0.145,0.370,0.00,0.790,0.441,0.085,0.00,0.274,0.540,139564.0,2.0,9.0
55,0.175,0.00,0.099,0.241,0.525,0.00,0.908,0.556,0.258,0.00,0.020,0.145,0.370,0.00,0.790,0.441,0.085,0.00,0.274,0.540,139564.0,2.0,9.0
56,0.175,0.00,0.099,0.241,0.525,0.00,0.908,0.556,0.258,0.00,0.020,0.145,0.370,0.00,0.790,0.441,0.085,0.00,0.274,0.540,139564.0,2.0,9.0
57,0.175,0.00,0.099,0.241,0.525,0.00,0.908,0.556,0.258,0.00,0.020,0.145,0.370,0.00,0.790,0.441,0.085,0.00,0.274,0.540,139564.0,2.0,9.0
58,0.175,0.00,0.099,0.241,0.525,0.00,0.908,0.556,0.258,0.00,0.020,0.145,0.370,0.00,0.790,0.441,0.085,0.00,0.274,0.540,139564.0,2.0,9.0
59,0.175,0.00,0.099,0.241,0.525,0.00,0.908,0.556,0.258,0.00,0.020,0.145,0.370,0.00,0.790,0.441,0.085,0.00,0.274,0.540,139564.0,2.0,9.0
60,0.175,0.00,0.099,0.241,0.525,0.00,0.908,0.556,0.258,0.00,0.020,0.145,0.370,0.00,0.790,0.441,0.085,0.00,0.274,0.540,139564.0,2.0,9.0
61,0.175,0.00,0.099,0.241,0.525,0.00,0.908,0.556,0.258,0.00,0.020,0.145,0.370,0.00,0.790,0.441,0.085,0.00,0.274,0.540,139564.0,2.0,9.0
62,0.175,0.00,0.099,0.241,0.525,0.00,0.908,0.556,0.258,0.00,0.020,0.145,0.370,0.00,0.790,0.441,0.085,0.00,0.274,0.540,139564.0,2.0,9.0
63,0.175,0.00,0.099,0.241,0.525,0.00,0.908,0.556,0.258,0.00,0.020,0.145,0.370,0.00,0.790,0.441,0.085,0.00,0.274,0.540,139564.0,2.0,9.0
64,0.175,0.00,0.099,0.241,0.525,0.00,0.908,0.556,0.258,0.00,0.020,0.145,0.370,0.00,0.790,0.441,0.085,0.00,0.274,0.540,139564.0,2.0,9.0
65,0.175,0.00,0.099,0.241,0.525,0.00,0.908,0.556,0.258,0.00,0.020,0.145,0.370,0.00,0.790,0.441,0.085,0.00,0.274,0.540,139564.0,2.0,9.0
66,0.175,0.00,0.099,0.241,0.525,0.00,0.908,0.556,0.258,0.00,0.020,0.145,0.370,0.00,0.790,0.441,0.085,0.00,0.274,0.540,139564.0,2.0,9.0
67,0.175,0.00,0.099,0.241,0.525,0.00,0.908,0.556,0.258,0.00,0.265,0.145,0.370,0.00,0.945,0.441,0.085,0.00,0.271,0.540,139564.0,2.0,9.0
68,0.175,0.00,0.205,0.241,0.525,0.00,1.007,0.556,0.258,0.00,0.210,0.145,0.370,0.00,0.975,0.441,0.085,0.00,0.048,0.540,139564.0,2.0,9.0
69,0.175,0.00,0.113,0.241,0.525,0.00,1.009,0.556,0.258,0.00,0.210,0.145,0.370,0.00,0.975,0.441,0.085,0.00,0.048,0.540,139564.0,2.0,9.0
70,0.175,0.00,0.113,0.241,0.525,0.00,1.009,0.556,0.258,0.00,0.210,0.145,0.370,0.00,0.975,0.441,0.085,0.00,0.048,0.540,139564.0,2.0,9.0
71,0.175,0.00,0.113,0.241,0.525,0.00,1.009,0.556,0.258,0.00,0.210,0.145,0.370,0.00,0.975,0.441,0.085,0.00,0.048,0.540,139564.0,2.0,9.0
72,0.175,0.00,0.113,0.241,0.525,0.00,1.009,0.556,0.258,0.00,0.210,0.145,0.370,0.00,0.975,0.441,0.085,0.00,0.048,0.540,139564.0,2.0,9.0
73,0.175,0.00,0.113,0.241,0.525,0.00,1.009,0.556,0.258,0.00,0.210,0.145,0.370,0.00,0.975,0.441,0.085,0.00,0.048,0.540,139564.0,2.0,9.0
74,0.175,0.00,0.113,0.241,0.525,0.00,1.009,0.556,0.258,0.00,0.210,0.145,0.370,0.00,0.975,0.441,0.085,0.00,0.048,0.540,139564.0,2.0,9.0
75,0.175,0.00,0.113,0.241,0.525,0.00,1.009,0.556,0.258,0.00,0.210,0.145,0.370,0.00,0.975,0.441,0.085,0.00,0.048,0.540,139564.0,2.0,9.0
76,0.175,0.00,0.113,0.241,0.525,0.00,1.009,0.556,0.258,0.00,0.210,0.145,0.370,0.00,0.975,0.441,0.085,0.00,0.048,0.540,139564.0,2.0,9.0
77,0.175,0.00,0.113,0.241,0.525,0.00,1.009,0.556,0.258,0.00,0.210,0.145,0.370,0.00,0.975,0.441,0.085,0.00,0.048,0.540,139564.0,2.0,9.0
